Continent;Region;Country;Criminality avg,;Criminal markets avg,;Human trafficking;Human smuggling;Arms trafficking;Flora crimes;Fauna crimes;Non-renewable resource crimes;Heroin trade;Cocaine trade;Cannabis trade;Synthetic drug trade;Cyber-dependent crimes;Financial crimes;Trade in counterfeit goods;Illicit trade in excisable goods;Extortion and protection racketeering;Criminal actors avg,;Mafia-style groups;Criminal networks;State-embedded actors;Foreign actors;Private sector actors;Resilience avg,;Political leadership and governance;Government transparency and accountability;International cooperation;National policies and laws;Judicial system and detention;Law enforcement;Territorial integrity;Anti-money laundering;Economic regulatory capacity;Victim and witness support;Prevention;Non-state actors
Asia;Central Asia and the Caucasus;Kyrgyzstan;5.32;4.63;7.00;5.50;3.50;2.50;3.50;6.50;7.50;2.00;6.00;5.00;2.00;6.00;5.00;4.00;3.50;6.00;6.50;6.00;8.50;4.50;4.50;3.83;3.00;2.50;4.50;4.00;3.00;3.00;4.00;3.00;5.00;4.00;5.00;5.00
Africa;North Africa;Egypt;5.05;5.10;6.00;6.00;7.00;1.00;5.50;4.00;5.50;2.50;7.50;8.00;2.50;8.00;6.00;3.50;3.50;5.00;3.00;5.50;8.50;5.00;3.00;3.83;3.50;2.50;5.00;4.50;3.00;5.00;6.00;5.00;4.00;2.50;2.50;2.50
Asia;South-Eastern Asia;Timor-Leste;4.08;3.67;4.50;5.00;4.00;3.00;5.00;2.00;2.50;2.50;3.50;4.00;2.00;5.50;2.50;5.00;4.00;4.50;5.00;4.00;4.50;5.00;4.00;3.83;3.50;3.50;4.00;4.00;3.50;4.00;3.00;4.00;3.50;3.50;4.50;5.00
Africa;East Africa;Uganda;6.55;6.40;7.50;6.50;7.00;7.00;7.00;8.00;6.00;4.50;6.50;4.00;6.00;7.50;7.50;6.00;5.00;6.70;5.50;6.50;8.00;7.00;6.50;3.88;4.50;2.00;5.00;5.00;4.00;4.00;5.50;3.00;3.50;2.00;4.00;4.00
Europe;Central & Eastern Europe;Bosnia and Herzegovina;5.85;5.30;5.50;6.50;6.00;4.50;3.50;4.00;6.50;5.50;6.00;6.00;4.50;6.00;4.50;5.50;5.00;6.40;4.00;6.00;8.00;8.00;6.00;3.88;4.00;3.50;6.00;4.00;2.00;3.50;4.00;3.50;3.50;4.00;4.50;4.00
Asia;Central Asia and the Caucasus;Uzbekistan;4.95;4.60;7.50;6.00;3.00;3.00;3.50;7.00;6.50;1.50;4.50;4.50;3.00;6.00;4.00;5.00;4.00;5.30;5.00;5.50;6.50;5.00;4.50;3.88;3.50;3.00;4.00;4.00;3.00;3.50;4.50;3.50;5.00;4.00;5.50;3.00
Europe;Central & Eastern Europe;Moldova;5.60;5.20;7.50;4.50;7.50;3.00;2.00;4.00;3.50;2.50;5.00;5.00;7.50;8.00;5.00;7.50;5.50;6.00;5.00;5.00;8.00;5.00;7.00;3.92;4.00;4.00;5.00;5.00;3.00;4.00;3.50;3.50;4.00;4.00;3.00;4.00
Africa;Southern Africa;Lesotho;3.92;3.43;4.00;3.50;4.00;1.00;3.00;6.00;3.50;5.00;5.50;3.50;1.00;5.00;1.00;3.50;2.00;4.40;3.00;5.50;6.00;5.00;2.50;3.92;4.00;3.50;7.00;5.00;3.00;3.00;3.00;4.00;4.00;3.50;3.50;3.50
Asia;Southern Asia;Pakistan;6.03;6.27;8.00;7.50;8.50;4.50;5.50;5.50;8.50;3.00;7.00;7.00;5.00;7.00;4.50;6.00;6.50;5.80;6.00;7.00;7.50;4.00;4.50;3.96;3.50;3.50;5.00;5.00;3.00;4.50;4.00;4.00;3.50;3.50;4.00;4.00
Asia;Central Asia and the Caucasus;Azerbaijan;4.80;4.10;4.50;3.00;3.00;3.00;3.50;5.00;6.50;1.50;5.50;5.00;3.00;5.00;5.00;4.00;4.00;5.50;5.50;5.50;7.50;6.00;3.00;3.96;3.50;3.00;5.00;4.00;2.50;4.50;4.00;4.00;4.50;4.00;5.00;3.50
